COG ID,Length (Mi),Functional Class,Route,Location,Speed,Lanes,Average Weekday Traffic 2018,Average Weekday Traffic 2019,Average Weekday Traffic 2020,Average Annual Daily Traffic 2018,Average Annual Daily Traffic 2019,Average Annual Daily Traffic 2020,AWDT21,AWDT22,ADT21,ADT22,VMT,VHT,VHD
20172,0.37599999,Urban Principal Arterial,4TH STREET, NORTH OF 2ND ST. (N.M. 47) - SOUTHWEST OF ROY AVE.,35,4,9740,9956,6771,9186,9268,6254,8665,9276,8004,8568,3222,105,23
20272,0.213,Urban Minor Arterial,CORRALES ROAD, NORTH OF N.M. 528/ALAMEDA BLVD. - SOUTH OF CALLE CUERVO,35,3,17736,18262,14548,16726,17089,13601,17561,17786,16422,16785,3575,121,32
20316,0.48800001,Urban Minor Arterial,GOLF COURSE ROAD, NORTH OF IRVING - SOUTH OF ELLISON,35,4,33065,34046,27122,31182,31859,25356,28429,28792,26586,27172,13260,463,131
20356,0.97799999,Urban Principal Arterial,2ND STREET, NORTH OF ALAMEDA ROAD - SOUTH OF 4TH ST./ N.M.556,45,2,4712,4644,3158,4444,4323,2917,4041,4326,3753,4018,3930,107,29
20376,0.49200001,Urban Major Collector,ALAMEDA ROAD, EAST OF 2ND ST. - WEST OF EDITH,30,2,2472,2527,1718,2254,2294,1536,2199,2354,1966,2105,1035,40,9
20380,0.57700002,Urban Principal Arterial,COORS, NORTH OF COORS BYPASS - SOUTH OF 7 BAR LOOP,35,4,47161,47956,21645,44480,45835,19993,25461,25787,23647,23860,13767,465,109
20147,0.611,Urban Minor Arterial,GOLF COURSE ROAD,NORTH OF PROGRESS - SOUTH OF IRVING,35,4,21838,18434,16056,20594,17250,15011,19581,19831,18311,18715,11434,399,113
20412,0.44100001,Urban Principal Arterial,2ND STREET, NORTH OF ALAMEDA BLVD. - SOUTH OF ALAMEDA ROAD,45,2,7427,7592,5163,7005,7067,4769,6607,7073,6103,6533,2881,81,23
20424,0.46000001,Urban Principal Arterial,COORS, NORTH OF IRVING - SOUTH OF COORS BYPASS,45,6,54940,56570,45065,51817,52661,41625,58531,59279,54360,54849,25231,671,166
20448,0.495,Urban Major Collector,EDITH BLVD.,NORTH OF ALAMEDA BLVD. - SOUTH OF ALAMEDA ROAD,35,2,2577,2914,1982,2350,2646,1772,2536,2715,2312,2475,1225,43,12
20469,0.47299999,Urban Principal Arterial,ALAMEDA BLVD.,WEST OF BALLOON MUSEUM - EAST OF EDITH BLVD.,40,4,26400,26560,21800,25100,25192,0,27899,29866,0,0,0,0,0
20488,0.50199997,Urban Major Collector,ALAMEDA BLVD., WEST OF WYOMING - EAST OF LOUISIANA,45,2,10957,11200,8428,9990,10169,7536,11464,11993,10452,10873,5458,187,78
20492,0.50099999,Urban Major Collector,ALAMEDA BLVD., WEST OF LOUISIANA - EAST OF SAN PEDRO,45,2,12750,16069,11664,11625,14590,10429,15863,16595,14462,15045,7537,254,103
20520,0.60500002,Urban Minor Arterial,EAGLE RANCH ROAD, NORTH OF PARADISE BLVD. - SOUTH OF IRVING,30,4,18506,18818,15180,17452,17780,14192,14909,15100,13942,14250,8621,351,99
20568,0.35299999,Urban Principal Arterial,COORS, NORTH OF P.D.N. N. RAMPS - SOUTH OF IRVING,45,6,73293,71031,52678,69127,66123,48657,73340,65534,68114,60637,21405,575,147
20564,0.193,Urban Minor Arterial,EAGLE RANCH ROAD, NORTH OF PASEO DEL NORTE - SOUTH OF PARADISE BLVD.,35,4,26133,24782,21084,24645,23190,19711,29978,26369,28034,24885,4803,168,47
20656,0.303,Urban Minor Arterial,GOLF COURSE ROAD, NORTH OF CALLE NORTENA - SOUTH OF PASEO DEL NORTE,40,4,30015,30520,20674,28306,28837,19328,23422,26269,21903,24791,7511,229,65
20188,0.59899998,Urban Major Collector,SAN PEDRO,NORTH HOLLY AVE. - SOUTH OF ALAMEDA,35,2,9394,12095,9102,8565,10982,8139,10856,12630,9897,11450,6859,252,81
20161,0.49900001,Urban Major Collector,LOUISIANA,NORTH OF CARMEL - SOUTH OF ALAMEDA,40,4,4702,6532,4916,4287,5931,4396,5863,6134,5345,5592,2790,86,23
20720,0.49900001,Urban Principal Arterial,PASEO DEL NORTE, EAST OF SAN PEDRO - WEST OF LOUISIANA,55,6,29993,30659,23072,28288,28541,21311,44933,47008,41731,43495,21704,599,237
20724,0.42199999,Urban Minor Arterial,RIO GRANDE BLVD., NORTH OF RANCHITOS ROAD - SOUTH OF EL PUEBLO,25,2,5579,5615,3933,5261,5254,3677,5054,5277,4725,4933,2082,102,29
20198,0.303,Urban Major Collector,WYOMING,NORTH OF CARMEL - SOUTH OF WILSHIRE,40,4,16224,16298,12265,14792,14798,10967,14628,14356,13336,13015,3944,123,35
20732,0.50099999,Urban Principal Arterial,PASEO DEL NORTE, EAST OF WYOMING - WEST OF BARSTOW,55,6,33054,35719,26880,31175,33251,24828,32060,34172,29776,31619,15842,377,113
20736,0.50099999,Urban Principal Arterial,PASEO DEL NORTE, EAST OF LOUISIANA - WEST OF WYOMING,55,6,45260,47489,34021,42687,44208,31424,50313,45766,46728,42346,21215,585,232
20740,0.50199997,Urban Principal Arterial,PASEO DEL NORTE, EAST OF BARSTOW - WEST OF VENTURA,55,6,32935,34697,26111,31063,32300,24118,31143,32581,28924,30260,15190,358,105
20772,0.109,Urban Minor Arterial,LAYTON/VENTURA, NORTH OF PALOMAS - SOUTH OF PASEO DEL NORTE,40,4,9485,10607,7982,8945,9926,7462,9520,9960,8903,9314,1015,31,9
20776,0.46399999,Urban Minor Arterial,4TH STREET, NORTH OF RANCHITOS ROAD - SOUTH OF EL PUEBLO,35,4,9213,9273,6496,8688,8677,6073,8347,8715,7804,8148,3781,132,37
20800,0.39199999,Urban Principal Arterial,2ND STREET, NORTH OF RANCHITOS ROAD - SOUTH OF EL PUEBLO,45,5,18934,19057,13350,17858,17740,12331,17154,19036,15845,17614,6904,200,62
20804,0.477,Urban Major Collector,TAYLOR RANCH RD., NORTH OF HOMESTEAD CIR. (N.) - SOUTH OF CALLE NORTENA,35,2,4745,4886,3892,4326,4436,3480,4578,4513,4094,4091,1951,63,11
