CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,cohesiveness_clustering,civic_volunteering
"Akron, OH",Midwest,699508,1.3723931677693464,7.147881082132012,0.1858369543702223,0.0818181532554771,0.7728721219024095,0.10373115192759214,0.07002942548531771
"Albany-Schenectady-Troy, NY",Northeast,902372,1.5293027709193106,1.7731046619354325,0.2611380511296953,0.1038234194858463,0.9076766609842006,0.09957505770198222,0.07924635664262261
"Albuquerque, NM",West,918567,5.166262369863215,13.194464856673491,0.0316125326396953,0.1572499630020744,0.6684407128408967,0.0781471690793517,0.06063744245959614
"Allentown-Bethlehem-Easton, PA-NJ",Northeast,866764,1.1075679192952177,1.845946532158696,0.2543560295779614,0.1096122821291022,0.9025849142329457,0.09461355286642223,0.0580871999365456
"Atlanta-Sandy Springs-Roswell, GA",South,6176937,2.7683623776638813,9.208447487808275,0.0280054830684875,0.1673200995075391,0.7615206166521213,0.09005714580144214,0.05343303193046126
"Augusta-Richmond County, GA-SC",South,618022,2.5241819870490048,9.870198795512136,0.0475228331780055,0.1573420316868592,0.6430531222158001,0.10053300223904425,0.047986483136530374
"Austin-Round Rock-San Marcos, TX",South,2357497,2.570522889318629,3.5461338869148085,0.0198333158559664,0.142535416635457,0.8564694711186284,0.08207071200638812,0.07333065765989816
"Bakersfield-Delano, CA",West,910433,4.788930102489695,11.928390117669286,0.0416938987982829,0.1604139502957491,0.6207,0.087279998,0.05748
"Baltimore-Columbia-Towson, MD",South,2839409,2.296252494797333,14.052220021842572,0.146466277107043,0.134326972459261,0.9574237183803097,0.08617747356002291,0.06711244666563859
"Baton Rouge, LA",South,871379,4.062526179767931,15.630397335717294,0.0338894366660092,0.153021757707224,0.7901109178153494,0.10285716040351685,0.060433704255300605
"Birmingham, AL",South,1181432,2.2853621706539182,16.13296406394951,0.0703308347471161,0.1251269535546039,0.6645182591356553,0.1005430958894821,0.05870255219116537
"Boise City, ID",West,790640,1.087726398866741,0.3797521382607232,0.0517462455558649,0.0889895542589222,0.9134932959748336,0.0839425924363975,0.11316583951429042
"Boston-Cambridge-Newton, MA-NH",Northeast,4917661,0.9191361502958418,1.8952099382206296,0.3149339652933526,0.1046717178505083,1.001294017289845,0.0969679229154398,0.06942584029162244
"Buffalo-Cheektowaga, NY",Northeast,1161385,1.102132367819457,7.301626936803904,0.2933547033065468,0.0705431205836519,0.7763695080362681,0.09896893982672923,0.06486188372209231
"Cape Coral-Fort Myers, FL",South,792692,3.1790405352898734,4.667638881179576,0.0059245589120566,0.2049934571858229,0.67043,0.085759997,0.064120002
"Charleston-North Charleston, SC",South,817756,3.668575956642324,11.128013735148382,0.0340017177768294,0.1463729520372941,0.7635866337034982,0.09161125262787341,0.06191277650215937
"Charlotte-Concord-Gastonia, NC-SC",South,2712818,2.1011361617329287,7.0480216512865965,0.0409414848448695,0.1226376032506859,0.701181880948079,0.09248526883494601,0.049143016134414755
"Chattanooga, TN-GA",South,569333,1.9672142665188912,6.182673409059373,0.0742328044431545,0.1198490854082764,0.7344890070190003,0.09767127756003609,0.05746994686521883
"Chicago-Naperville-Elgin, IL-IN",Midwest,9359555,1.5599032218946307,11.395840934745294,0.2011503820240908,0.092070443209697,0.8197282943154373,0.08930184658440816,0.0675659770981749
"Cincinnati, OH-KY-IN",Midwest,2255257,1.277016322308278,5.267692329521647,0.1648539140795822,0.1069123734010399,0.813474974729171,0.0949563555595066,0.07680504449288858
"Cleveland, OH",Midwest,2171978,1.114191764373304,10.884088144539216,0.2255527424168205,0.0706373234657082,0.7709894447815179,0.09231130548861939,0.06718061684996587
"Colorado Springs, CO",West,760782,1.4984581654140083,8.149509320672676,0.0491122219751247,0.1644540705001143,0.9634552983673796,0.07845822499993964,0.06339444881297998
